,name,id,start_date,average_speed,average_speed_min_per_km
0,Prépa Trail 42km W2S3,16169083327,2025-10-17T10:27:52Z,8.78,06:49
1,Prépa Trail 42km W2S2,16150214950,2025-10-15T14:59:57Z,8.77,06:50
2,Prépa Trail 42km W2S1,16137965500,2025-10-14T13:15:30Z,9.26,06:28
3,Afternoon Run,16126906432,2025-10-13T13:13:57Z,10.79,05:33
4,Prépa Trail 42km W1S4,16097780019,2025-10-10T15:45:59Z,9.11,06:35
5,Prépa Trail 42km W1S3,16087030269,2025-10-09T15:40:20Z,8.9,06:44
6,Prépa Trail 42km W1S2,16060227073,2025-10-07T07:51:20Z,7.8,07:41
7,Prepa Trail 42km W1S1,16052064576,2025-10-06T13:13:32Z,8.54,07:01
8,Afternoon Run,16042095186,2025-10-05T13:31:57Z,8.85,06:46
9,Morning Run,16017710458,2025-10-03T07:40:45Z,8.55,07:01
10,Afternoon Run,16009594434,2025-10-02T12:43:55Z,8.55,07:01
11,Prépa 23km trail,15984024772,2025-09-30T08:01:54Z,7.72,07:46
12,10km Rouen,15957244593,2025-09-27T19:12:00Z,11.52,05:12
13,Fin de carrière...,15683439604,2025-09-03T14:13:07Z,8.82,06:47
14,LETSSSSGOOOO,15645599213,2025-08-31T07:00:16Z,8.51,07:02
15,"J-6 Trail de Vernon, je suis trop hype",15580688900,2025-08-25T12:56:21Z,9.81,06:07
16,First trail ever,15558094920,2025-08-23T11:27:07Z,7.9,07:35
17,Afternoon Run,15547562025,2025-08-22T13:56:48Z,11.41,05:15
18,Entraînement 10km Rouen,15536836544,2025-08-21T14:28:49Z,12.29,04:52
19,Entraînement 10km Rouen,15525806695,2025-08-20T14:48:08Z,9.12,06:34
20,Entraînement 10km Rouen,15514449122,2025-08-19T15:03:42Z,9.36,06:24
21,Entraînement 10km Rouen,15503090113,2025-08-18T16:17:50Z,9.69,06:11
22,Entraînement 10km Rouen,15478552266,2025-08-16T12:32:43Z,9.05,06:37
23,Afternoon Run,15456578422,2025-08-14T13:16:55Z,11.44,05:14
24,Test max 1km,15445992238,2025-08-13T15:07:33Z,15.4,03:53
25,Afternoon Run,15445987298,2025-08-13T14:26:18Z,8.37,07:10
26,Entraînement 10km Rouen,15423166571,2025-08-11T16:03:54Z,9.65,06:13
27,Entraînement 10km Rouen,15397589034,2025-08-09T10:43:33Z,11.37,05:16
28,Entraînement 10km Rouen,15385912981,2025-08-08T09:33:09Z,10.02,05:59
29,Entraînement 10km Rouen,15374295773,2025-08-07T09:16:02Z,9.17,06:32
30,Entraînement 10km Rouen,15363073239,2025-08-06T10:06:15Z,8.86,06:46
31,Entraînement 10km Rouen,15342084372,2025-08-04T13:42:43Z,10.85,05:31
32,Entraînement 10km Rouen,15329695967,2025-08-03T11:37:53Z,10.41,05:45
33,Entraînement 10km Rouen,15317525853,2025-08-02T10:28:03Z,10.58,05:40
34,"Entraînement 10km Rouen
Séance 2:
Course 31min: 5:40",15306203468,2025-08-01T09:04:56Z,10.61,05:39
35,"Entraînement 10km Rouen
Séance 1:

Échauffement 10min: 5:45/6:00
Pause 30s
Course 15min: 5:00/5:15
Pause 30s
Récup 10min: 5:45/6:00",15297817567,2025-07-31T13:00:00Z,10.86,05:31
36,Afternoon Run,15285997331,2025-07-30T12:14:42Z,9.89,06:04
37,Afternoon Run,15263326373,2025-07-28T13:00:32Z,10.52,05:42
38,Afternoon Run,15005178636,2025-07-04T14:09:23Z,12.33,04:52
39,Afternoon Run,14932925820,2025-06-27T14:39:50Z,10.77,05:34
40,Afternoon Run,14900433439,2025-06-24T12:17:01Z,10.65,05:37
41,Afternoon Run,14891351850,2025-06-23T14:56:52Z,11.12,05:24
42,Afternoon Run,14859329053,2025-06-20T11:52:36Z,12.87,04:39
43,Afternoon Run,14849530931,2025-06-19T12:52:26Z,10.94,05:28
44,Afternoon Run,14827190315,2025-06-17T12:20:27Z,12.31,04:52
45,Afternoon Run,14765585964,2025-06-11T11:56:26Z,10.86,05:31
46,Afternoon Run,14705674214,2025-06-05T15:24:59Z,11.25,05:19
47,Afternoon Run,14672412149,2025-06-02T13:09:39Z,11.36,05:16
48,Afternoon Run,14599074552,2025-05-26T11:23:44Z,12.12,04:57
49,Lunch Run,14588937438,2025-05-25T10:24:18Z,11.19,05:21
50,Lunch Run,14559614406,2025-05-22T10:53:03Z,11.84,05:04
51,Afternoon Run,14527881525,2025-05-19T11:34:24Z,13.81,04:20
52,Afternoon Run,14519123569,2025-05-18T12:57:57Z,13.56,04:25
53,Evening Run,14500287563,2025-05-16T16:39:25Z,12.2,04:55
54,Morning Run,14463939601,2025-05-13T07:18:08Z,10.65,05:37
55,Afternoon Run,14446878617,2025-05-11T13:06:14Z,12.6,04:45
56,Afternoon Run,14425356169,2025-05-09T12:37:12Z,11.51,05:12
57,New 5k PR 🎉,14406606206,2025-05-07T13:32:10Z,12.87,04:39
58,Miss PB...,14386025142,2025-05-05T15:33:41Z,12.69,04:43
59,Afternoon Run,14365889461,2025-05-03T14:25:09Z,11.67,05:08
60,Afternoon Run,14353861867,2025-05-02T11:53:41Z,11.37,05:16
61,Afternoon Run,14321852871,2025-04-29T12:39:57Z,11.83,05:04
62,Chill 5k,14312012122,2025-04-28T13:43:08Z,10.94,05:28
63,Afternoon Run,14295308324,2025-04-26T12:43:02Z,11.56,05:11
64,5km sub 24,14250549284,2025-04-22T10:31:46Z,12.65,04:44
65,Test allure 4:30 pt.2,14234124909,2025-04-20T15:08:01Z,13.02,04:36
66,Test allure 4:30 pt.1,14234124267,2025-04-20T14:53:47Z,13.06,04:35
67,Afternoon Run,14223985631,2025-04-19T14:04:22Z,10.98,05:27
68,Afternoon Run,14194133150,2025-04-16T13:15:32Z,12.09,04:57
69,Afternoon Run,14175557185,2025-04-14T15:19:54Z,11.57,05:11
70,First Toinz's run of 2025,14164796198,2025-04-13T11:34:33Z,9.83,06:05
71,5km EF,14147587813,2025-04-11T16:20:45Z,11.22,05:20
72,cardio after workout,14106868843,2025-04-07T14:04:44Z,12.63,04:45
73,Chill 5k,14088066118,2025-04-05T14:12:36Z,11.17,05:22
74,Afternoon Run,14078305148,2025-04-04T14:12:20Z,12.42,04:49
75,ez,14068494201,2025-04-03T13:40:10Z,11.56,05:11
76,Afternoon Run,14061678650,2025-04-02T14:44:38Z,10.97,05:28
77,Afternoon Run,14038383362,2025-03-31T12:46:45Z,11.12,05:24
78,10k in pain,14020823219,2025-03-29T13:41:13Z,11.03,05:26
79,Afternoon Run,14002587041,2025-03-27T14:30:01Z,11.48,05:13
80,1h run,13993907029,2025-03-26T15:39:30Z,10.55,05:41
81,Lunch Run,13972077955,2025-03-24T11:11:08Z,11.25,05:19
82,Afternoon Run,13954304186,2025-03-22T12:52:39Z,10.73,05:35
83,First 5k,13943708973,2025-03-21T10:19:01Z,12.43,04:49
84,Afternoon Run,13927346809,2025-03-19T14:44:23Z,9.65,06:13
85,Lunch Run,13906587182,2025-03-17T10:56:18Z,10.47,05:43
86,Evening Run,13901459544,2025-03-16T17:21:03Z,11.5,05:13
