,name,id,start_date,max_speed,max_speed_km_per_hour,max_speed_min_per_km
0,Prépa Trail 42km W2S3,16169083327,2025-10-17T10:27:52Z,4.42,15.91,3.46
1,Prépa Trail 42km W2S2,16150214950,2025-10-15T14:59:57Z,4.8,17.28,3.28
2,Prépa Trail 42km W2S1,16137965500,2025-10-14T13:15:30Z,3.96,14.26,4.12
3,Afternoon Run,16126906432,2025-10-13T13:13:57Z,4.8,17.28,3.28
4,Prépa Trail 42km W1S4,16097780019,2025-10-10T15:45:59Z,4.22,15.19,3.57
5,Prépa Trail 42km W1S3,16087030269,2025-10-09T15:40:20Z,3.38,12.17,4.56
6,Prépa Trail 42km W1S2,16060227073,2025-10-07T07:51:20Z,4.28,15.41,3.54
7,Prepa Trail 42km W1S1,16052064576,2025-10-06T13:13:32Z,3.52,12.67,4.44
8,Afternoon Run,16042095186,2025-10-05T13:31:57Z,3.32,11.95,5.01
9,Morning Run,16017710458,2025-10-03T07:40:45Z,4.14,14.9,4.02
10,Afternoon Run,16009594434,2025-10-02T12:43:55Z,3.44,12.38,4.51
11,Prépa 23km trail,15984024772,2025-09-30T08:01:54Z,3.38,12.17,4.56
12,10km Rouen,15957244593,2025-09-27T19:12:00Z,5.48,19.73,3.02
13,Fin de carrière...,15683439604,2025-09-03T14:13:07Z,4.2,15.12,3.58
14,LETSSSSGOOOO,15645599213,2025-08-31T07:00:16Z,5.38,19.37,3.06
15,"J-6 Trail de Vernon, je suis trop hype",15580688900,2025-08-25T12:56:21Z,3.52,12.67,4.44
16,First trail ever,15558094920,2025-08-23T11:27:07Z,3.74,13.46,4.27
17,Afternoon Run,15547562025,2025-08-22T13:56:48Z,4.64,16.7,3.36
18,Entraînement 10km Rouen,15536836544,2025-08-21T14:28:49Z,4.68,16.85,3.34
19,Entraînement 10km Rouen,15525806695,2025-08-20T14:48:08Z,4.22,15.19,3.57
20,Entraînement 10km Rouen,15514449122,2025-08-19T15:03:42Z,3.56,12.82,4.41
21,Entraînement 10km Rouen,15503090113,2025-08-18T16:17:50Z,3.82,13.75,4.22
22,Entraînement 10km Rouen,15478552266,2025-08-16T12:32:43Z,7.34,26.42,2.16
23,Afternoon Run,15456578422,2025-08-14T13:16:55Z,3.78,13.61,4.25
24,Test max 1km,15445992238,2025-08-13T15:07:33Z,5.42,19.51,3.05
25,Afternoon Run,15445987298,2025-08-13T14:26:18Z,3.18,11.45,5.14
26,Entraînement 10km Rouen,15423166571,2025-08-11T16:03:54Z,4.06,14.62,4.06
27,Entraînement 10km Rouen,15397589034,2025-08-09T10:43:33Z,4.28,15.41,3.54
28,Entraînement 10km Rouen,15385912981,2025-08-08T09:33:09Z,4.28,15.41,3.54
29,Entraînement 10km Rouen,15374295773,2025-08-07T09:16:02Z,4.14,14.9,4.02
30,Entraînement 10km Rouen,15363073239,2025-08-06T10:06:15Z,4.14,14.9,4.02
31,Entraînement 10km Rouen,15342084372,2025-08-04T13:42:43Z,4.38,15.77,3.48
32,Entraînement 10km Rouen,15329695967,2025-08-03T11:37:53Z,3.66,13.18,4.33
33,Entraînement 10km Rouen,15317525853,2025-08-02T10:28:03Z,3.64,13.1,4.35
34,"Entraînement 10km Rouen
Séance 2:
Course 31min: 5:40",15306203468,2025-08-01T09:04:56Z,3.86,13.9,4.19
35,"Entraînement 10km Rouen
Séance 1:

Échauffement 10min: 5:45/6:00
Pause 30s
Course 15min: 5:00/5:15
Pause 30s
Récup 10min: 5:45/6:00",15297817567,2025-07-31T13:00:00Z,4.06,14.62,4.06
36,Afternoon Run,15285997331,2025-07-30T12:14:42Z,3.64,13.1,4.35
37,Afternoon Run,15263326373,2025-07-28T13:00:32Z,4.18,15.05,3.59
38,Afternoon Run,15005178636,2025-07-04T14:09:23Z,4.12,14.83,4.03
39,Afternoon Run,14932925820,2025-06-27T14:39:50Z,4.22,15.19,3.57
40,Afternoon Run,14900433439,2025-06-24T12:17:01Z,4.0,14.4,4.1
41,Afternoon Run,14891351850,2025-06-23T14:56:52Z,4.42,15.91,3.46
42,Afternoon Run,14859329053,2025-06-20T11:52:36Z,4.54,16.34,3.4
43,Afternoon Run,14849530931,2025-06-19T12:52:26Z,4.2,15.12,3.58
44,Afternoon Run,14827190315,2025-06-17T12:20:27Z,4.32,15.55,3.52
45,Afternoon Run,14765585964,2025-06-11T11:56:26Z,3.76,13.54,4.26
46,Afternoon Run,14705674214,2025-06-05T15:24:59Z,4.14,14.9,4.02
47,Afternoon Run,14672412149,2025-06-02T13:09:39Z,4.52,16.27,3.41
48,Afternoon Run,14599074552,2025-05-26T11:23:44Z,4.5,16.2,3.42
49,Lunch Run,14588937438,2025-05-25T10:24:18Z,4.0,14.4,4.1
50,Lunch Run,14559614406,2025-05-22T10:53:03Z,4.34,15.62,3.5
51,Afternoon Run,14527881525,2025-05-19T11:34:24Z,4.74,17.06,3.31
52,Afternoon Run,14519123569,2025-05-18T12:57:57Z,4.5,16.2,3.42
53,Evening Run,14500287563,2025-05-16T16:39:25Z,5.34,19.22,3.07
54,Morning Run,14463939601,2025-05-13T07:18:08Z,3.84,13.82,4.2
55,Afternoon Run,14446878617,2025-05-11T13:06:14Z,4.1,14.76,4.04
56,Afternoon Run,14425356169,2025-05-09T12:37:12Z,4.26,15.34,3.55
57,New 5k PR 🎉,14406606206,2025-05-07T13:32:10Z,4.84,17.42,3.27
58,Miss PB...,14386025142,2025-05-05T15:33:41Z,4.3,15.48,3.53
59,Afternoon Run,14365889461,2025-05-03T14:25:09Z,4.96,17.86,3.22
60,Afternoon Run,14353861867,2025-05-02T11:53:41Z,4.44,15.98,3.45
61,Afternoon Run,14321852871,2025-04-29T12:39:57Z,4.5,16.2,3.42
62,Chill 5k,14312012122,2025-04-28T13:43:08Z,4.2,15.12,3.58
63,Afternoon Run,14295308324,2025-04-26T12:43:02Z,4.18,15.05,3.59
64,5km sub 24,14250549284,2025-04-22T10:31:46Z,4.68,16.85,3.34
65,Test allure 4:30 pt.2,14234124909,2025-04-20T15:08:01Z,4.12,14.83,4.03
66,Test allure 4:30 pt.1,14234124267,2025-04-20T14:53:47Z,4.12,14.83,4.03
67,Afternoon Run,14223985631,2025-04-19T14:04:22Z,4.4,15.84,3.47
68,Afternoon Run,14194133150,2025-04-16T13:15:32Z,4.26,15.34,3.55
69,Afternoon Run,14175557185,2025-04-14T15:19:54Z,4.66,16.78,3.35
70,First Toinz's run of 2025,14164796198,2025-04-13T11:34:33Z,3.94,14.18,4.14
71,5km EF,14147587813,2025-04-11T16:20:45Z,4.1,14.76,4.04
72,cardio after workout,14106868843,2025-04-07T14:04:44Z,4.58,16.49,3.38
73,Chill 5k,14088066118,2025-04-05T14:12:36Z,3.94,14.18,4.14
74,Afternoon Run,14078305148,2025-04-04T14:12:20Z,4.38,15.77,3.48
75,ez,14068494201,2025-04-03T13:40:10Z,4.94,17.78,3.22
76,Afternoon Run,14061678650,2025-04-02T14:44:38Z,3.82,13.75,4.22
77,Afternoon Run,14038383362,2025-03-31T12:46:45Z,5.34,19.22,3.07
78,10k in pain,14020823219,2025-03-29T13:41:13Z,4.14,14.9,4.02
79,Afternoon Run,14002587041,2025-03-27T14:30:01Z,4.38,15.77,3.48
80,1h run,13993907029,2025-03-26T15:39:30Z,4.38,15.77,3.48
81,Lunch Run,13972077955,2025-03-24T11:11:08Z,4.28,15.41,3.54
82,Afternoon Run,13954304186,2025-03-22T12:52:39Z,4.64,16.7,3.36
83,First 5k,13943708973,2025-03-21T10:19:01Z,4.34,15.62,3.5
84,Afternoon Run,13927346809,2025-03-19T14:44:23Z,5.06,18.22,3.18
85,Lunch Run,13906587182,2025-03-17T10:56:18Z,4.24,15.26,3.56
86,Evening Run,13901459544,2025-03-16T17:21:03Z,5.62,20.23,2.58
